z_mm,Без перекоса,"G6,3 + номинальная сила",G16 + предельные зазоры
3.1155778894472386,34.933583554853115,34.629194889664504,32.317938216893445
3.3165829145728636,34.933583554853115,34.60955691126523,32.14918690476702
3.517587939698492,34.933583554853115,34.58991893286597,31.980435592640585
3.718592964824121,34.933583554853115,34.570280954466696,31.81168428051416
3.91959798994975,34.933583554853115,34.55064297606744,31.642932968387726
4.120603015075379,34.933583554853115,34.53100499766817,31.474181656261297
4.321608040201005,34.933583554853115,34.51136701926891,31.305430344134873
4.522613065326633,34.933583554853115,34.491729040869636,31.136679032008445
4.723618090452262,34.933583554853115,34.472091062470376,30.967927719882013
4.924623115577891,34.933583554853115,34.4524530840711,30.799176407755578
5.12562814070352,34.933583554853115,34.43281510567185,30.630425095629146
5.326633165829144,34.933583554853115,34.413177127272576,30.461673783502725
5.527638190954773,34.933583554853115,34.393539148873316,30.29292247137629
5.728643216080402,34.933583554853115,34.37390117047404,30.124171159249865
5.929648241206031,34.933583554853115,34.35426319207478,29.95541984712343
6.13065326633166,34.933583554853115,34.334625213675515,29.786668534997002
6.331658291457285,34.933583554853115,34.314987235276256,29.617917222870574
6.532663316582914,34.933583554853115,34.29534925687698,29.449165910744146
6.733668341708543,34.933583554853115,34.27571127847772,29.28041459861771
6.934673366834172,34.933583554853115,34.256073300078455,29.111663286491282
7.135678391959801,34.933583554853115,34.236435321679195,28.94291197436485
7.336683417085426,34.933583554853115,34.21679734327993,28.774160662238426
7.537688442211055,34.933583554853115,34.197159364880655,28.60540935011199
7.738693467336684,34.933583554853115,34.177521386481395,28.436658037985566
7.939698492462313,34.933583554853115,34.15788340808212,28.26790672585913
8.140703517587943,34.933583554853115,34.13824542968287,28.099155413732706
8.341708542713567,34.933583554853115,34.118607451283594,27.930404101606275
8.542713567839197,34.933583554853115,34.098969472884335,27.761652789479847
8.743718592964823,34.933583554853115,34.07933149448506,27.592901477353415
8.944723618090453,34.933583554853115,34.0596935160858,27.424150165226987
9.145728643216081,34.933583554853115,34.040055537686534,27.25539885310055
9.346733668341708,34.933583554853115,34.020417559287274,27.086647540974123
9.547738693467336,34.933583554853115,34.000779580888,26.917896228847695
9.748743718592966,34.933583554853115,33.98114160248874,26.749144916721267
9.949748743718594,34.933583554853115,33.96150362408947,26.580393604594832
10.150753768844222,34.933583554853115,33.941865645690214,26.411642292468407
10.351758793969852,34.933583554853115,33.92222766729094,26.242890980341972
10.552763819095476,34.933583554853115,33.90258968889168,26.074139668215544
10.753768844221105,34.933583554853115,33.88295171049241,25.905388356089116
10.954773869346734,34.933583554853115,33.86331373209315,25.736637043962688
11.155778894472364,34.933583554853115,33.84367575369388,25.567885731836256
11.356783919597992,34.933583554853115,33.82403777529462,25.399134419709828
11.557788944723617,34.933583554853115,33.80439979689535,25.230383107583396
11.758793969849247,34.933583554853115,33.78476181849609,25.061631795456968
11.959798994974875,34.933583554853115,33.76512384009682,24.892880483330536
12.160804020100503,34.933583554853115,33.74548586169756,24.72412917120411
12.361809045226133,34.933583554853115,33.72584788329829,24.555377859077673
12.562814070351758,34.933583554853115,33.706209904899026,24.38662654695125
12.763819095477388,34.933583554853115,33.68657192649976,24.21787523482482
12.964824120603016,34.933583554853115,33.66693394810049,24.04912392269839
13.165829145728646,34.933583554853115,33.64729596970123,23.880372610571957
13.366834170854274,34.933583554853115,33.627657991301966,23.71162129844553
13.567839195979898,34.933583554853115,33.6080200129027,23.5428699863191
13.768844221105526,34.933583554853115,33.58838203450343,23.37411867419267
13.969849246231156,34.933583554853115,33.568744056104165,23.205367362066237
14.170854271356786,34.933583554853115,33.5491060777049,23.036616049939813
14.371859296482414,34.933583554853115,33.52946809930564,22.867864737813377
14.572864321608039,34.933583554853115,33.509830120906365,22.699113425686953
14.773869346733669,34.933583554853115,33.490192142507105,22.53036211356052
14.974874371859297,34.933583554853115,33.47055416410783,22.36161080143409
15.175879396984925,34.933583554853115,33.45091618570858,22.19285948930766
15.376884422110555,34.933583554853115,33.431278207309305,22.02410817718123
15.57788944723618,34.933583554853115,33.411640228910045,21.855356865054805
15.778894472361808,34.933583554853115,33.39200225051078,21.686605552928373
15.97989949748744,34.933583554853115,33.37236427211151,21.51785424080194
16.180904522613066,34.933583554853115,33.352726293712244,21.34910292867551
16.381909547738694,34.933583554853115,33.333088315312985,21.18035161654908
16.58291457286432,34.933583554853115,33.31345033691372,21.011600304422657
16.78391959798995,34.933583554853115,33.29381235851445,20.842848992296222
16.984924623115578,34.933583554853115,33.274174380115184,20.67409768016979
17.185929648241206,34.933583554853115,33.254536401715924,20.505346368043362
17.386934673366838,34.933583554853115,33.23489842331666,20.33659505591693
17.587939698492463,34.933583554853115,33.21526044491739,20.167843743790506
17.78894472361809,34.933583554853115,33.195622466518124,19.999092431664074
17.98994974874372,34.933583554853115,33.17598448811886,19.830341119537643
18.19095477386935,34.933583554853115,33.1563465097196,19.661589807411215
18.39195979899498,34.933583554853115,33.13670853132033,19.492838495284783
18.592964824120603,34.933583554853115,33.117070552921064,19.32408718315836
18.79396984924623,34.933583554853115,33.0974325745218,19.155335871031927
18.99497487437186,34.933583554853115,33.07779459612253,18.986584558905495
19.195979899497488,34.933583554853115,33.05815661772327,18.817833246779063
19.396984924623116,34.933583554853115,33.038518639324,18.64908193465263
19.597989949748747,34.933583554853115,33.01888066092474,18.480330622526203
19.798994974874372,34.933583554853115,32.99924268252547,18.31157931039978
20.0,34.933583554853115,32.9796047041262,18.142827998273347
